returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
bachata classes near me,,bachata classes near me,Performance and dance: Bachata classes,720,LOW,23,0.5651,0.2191,0.7948,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:590|2026-january:880|2026-february:720|2026-march:720|2026-april:590|2026-may:590|2026-june:480|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bridge club near me,bridge clubs near me,bridge club near me|bridge clubs near me,Tabletop and games: Bridge clubs,720,LOW,1,1.2012,0.0000,0.0000,2025-august:880|2025-september:880|2025-october:880|2025-november:720|2025-december:590|2026-january:1000|2026-february:720|2026-march:720|2026-april:590|2026-may:720|2026-june:720|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cake decorating course near me,,cake decorating course near me,Food and drink: Cake decorating,720,HIGH,100,0.8408,0.2021,0.9101,2025-august:880|2025-september:1000|2025-october:880|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:720|2026-april:480|2026-may:480|2026-june:480|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
candle making workshop near me,,candle making workshop near me,Craft and making: Candle making,720,HIGH,100,0.6579,0.2239,1.5292,2025-august:720|2025-september:880|2025-october:1000|2025-november:1000|2025-december:880|2026-january:1000|2026-february:880|2026-march:720|2026-april:480|2026-may:480|2026-june:390|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
car clubs near me,,car clubs near me,Technical and maker hobbies: Car clubs,720,MEDIUM,36,1.0202,0.2915,1.2802,2025-august:880|2025-september:720|2025-october:720|2025-november:590|2025-december:720|2026-january:880|2026-february:720|2026-march:1000|2026-april:720|2026-may:720|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
chocolate making experience,,chocolate making experience,Food and drink: Chocolate making,720,HIGH,100,0.8854,0.3292,0.9127,2025-august:590|2025-september:720|2025-october:880|2025-november:1000|2025-december:1300|2026-january:880|2026-february:880|2026-march:720|2026-april:720|2026-may:480|2026-june:480|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
climbing clubs near me,,climbing clubs near me,Outdoor and endurance: Climbing,720,LOW,16,0.4880,0.2793,0.6071,2025-august:720|2025-september:1000|2025-october:720|2025-november:590|2025-december:480|2026-january:880|2026-february:720|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gardening clubs near me,garden club near me,gardening clubs near me|garden club near me,Nature and animals: Gardening clubs,720,LOW,3,0.8892,0.7580,14.8280,2025-august:880|2025-september:880|2025-october:590|2025-november:480|2025-december:390|2026-january:880|2026-february:720|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:880|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gin tasting experience,,gin tasting experience,Food and drink: Gin tasting,720,HIGH,100,0.9938,0.4326,1.2660,2025-august:590|2025-september:720|2025-october:590|2025-november:880|2025-december:1000|2026-january:720|2026-february:590|2026-march:720|2026-april:590|2026-may:590|2026-june:480|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gin tasting near me,,gin tasting near me,Food and drink: Gin tasting,720,HIGH,100,0.8598,0.3146,1.1032,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:880|2026-january:590|2026-february:590|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
glass blowing near me,,glass blowing near me,Craft and making: Glassblowing,720,MEDIUM,49,0.5773,0.2226,0.9283,2025-august:880|2025-september:720|2025-october:880|2025-november:880|2025-december:590|2026-january:590|2026-february:590|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
makerspace near me,,makerspace near me,Technical and maker hobbies: Makerspaces,720,LOW,12,0.8784,0.6774,4.0477,2025-august:480|2025-september:480|2025-october:480|2025-november:480|2025-december:390|2026-january:480|2026-february:480|2026-march:590|2026-april:480|2026-may:2900|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
model railway clubs near me,,model railway clubs near me,Technical and maker hobbies: Model-making clubs,720,LOW,0,0.4467,0.0000,0.0000,2025-august:590|2025-september:720|2025-october:720|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
open air cinema near me,,open air cinema near me,Live culture: Outdoor cinema,720,LOW,7,0.8749,0.0776,0.8795,2025-august:2400|2025-september:480|2025-october:260|2025-november:90|2025-december:70|2026-january:90|2026-february:110|2026-march:260|2026-april:480|2026-may:880|2026-june:1000|2026-july:2400,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
stargazing near me,,stargazing near me,"Ideas, books and learning: Stargazing events",720,LOW,12,1.0180,0.2391,1.0676,2025-august:1600|2025-september:880|2025-october:720|2025-november:720|2025-december:720|2026-january:720|2026-february:590|2026-march:720|2026-april:720|2026-may:720|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
whisky tasting near me,whiskey tasting near me,whisky tasting near me|whiskey tasting near me,Food and drink: Whisky tasting,720,HIGH,100,0.7704,0.3450,1.8938,2025-august:720|2025-september:720|2025-october:720|2025-november:880|2025-december:720|2026-january:480|2026-february:480|2026-march:590|2026-april:590|2026-may:880|2026-june:720|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
woodworking classes near me,,woodworking classes near me,Craft and making: Woodworking,720,HIGH,72,1.1331,0.2551,1.3585,2025-august:880|2025-september:880|2025-october:880|2025-november:880|2025-december:880|2026-january:880|2026-february:590|2026-march:590|2026-april:590|2026-may:480|2026-june:480|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
adult acting classes near me,,adult acting classes near me,Performance and dance: Acting classes,590,MEDIUM,44,2.0295,0.6366,2.4708,2025-august:590|2025-september:720|2025-october:590|2025-november:590|2025-december:590|2026-january:1000|2026-february:590|2026-march:590|2026-april:390|2026-may:390|2026-june:390|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
ballet tickets,,ballet tickets,Live culture: Ballet,590,MEDIUM,58,1.2680,0.2400,0.9316,2025-august:320|2025-september:480|2025-october:720|2025-november:1000|2025-december:1300|2026-january:590|2026-february:390|2026-march:590|2026-april:320|2026-may:320|2026-june:320|2026-july:260,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
burlesque classes near me,,burlesque classes near me,Performance and dance: Burlesque classes,590,LOW,6,0.7952,0.3719,1.0581,2025-august:590|2025-september:590|2025-october:590|2025-november:480|2025-december:720|2026-january:880|2026-february:720|2026-march:590|2026-april:480|2026-may:480|2026-june:480|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cabaret near me,,cabaret near me,Live culture: Cabaret,590,LOW,24,0.3723,0.5247,1.6211,2025-august:590|2025-september:720|2025-october:720|2025-november:720|2025-december:720|2026-january:590|2026-february:590|2026-march:480|2026-april:480|2026-may:480|2026-june:390|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
community choir near me,community choirs near me,community choir near me|community choirs near me,Community and alternative: Community choirs,590,LOW,3,5.8421,0.9220,14.8280,2025-august:480|2025-september:720|2025-october:720|2025-november:720|2025-december:1000|2026-january:720|2026-february:480|2026-march:590|2026-april:480|2026-may:720|2026-june:590|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
farm experiences near me,,farm experiences near me,Nature and animals: Farm experiences,590,HIGH,100,0.4918,0.2455,0.9582,2025-august:720|2025-september:390|2025-october:390|2025-november:320|2025-december:320|2026-january:390|2026-february:480|2026-march:720|2026-april:720|2026-may:720|2026-june:590|2026-july:720,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
hiking groups near me,,hiking groups near me,Outdoor and endurance: Hiking groups,590,MEDIUM,34,1.2747,0.4370,1.5050,2025-august:590|2025-september:590|2025-october:480|2025-november:480|2025-december:480|2026-january:720|2026-february:590|2026-march:590|2026-april:590|2026-may:590|2026-june:480|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
kayak clubs near me,,kayak clubs near me,Outdoor and endurance: Kayaking,590,LOW,4,0.1750,0.3437,3.3977,2025-august:880|2025-september:720|2025-october:480|2025-november:320|2025-december:260|2026-january:480|2026-february:390|2026-march:480|2026-april:590|2026-may:880|2026-june:720|2026-july:880,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
life drawing near me,,life drawing near me,Craft and making: Life drawing,590,LOW,12,4.5820,0.4528,7.4533,2025-august:590|2025-september:720|2025-october:720|2025-november:590|2025-december:390|2026-january:880|2026-february:720|2026-march:720|2026-april:590|2026-may:480|2026-june:590|2026-july:480,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
live jazz near me,,live jazz near me,Live culture: Jazz clubs,590,LOW,26,0.8092,0.3348,1.3825,2025-august:720|2025-september:880|2025-october:720|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:590|2026-april:480|2026-may:590|2026-june:480|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
swing dance classes near me,,swing dance classes near me,Performance and dance: Swing dancing,590,LOW,6,1.5848,0.2667,2.0595,2025-august:720|2025-september:720|2025-october:590|2025-november:590|2025-december:480|2026-january:720|2026-february:480|2026-march:480|2026-april:480|2026-may:480|2026-june:590|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
writing retreats uk,,writing retreats uk,"Wellness, spa and retreats: Writing retreats",590,MEDIUM,38,0.8398,0.1451,0.8463,2025-august:720|2025-september:720|2025-october:590|2025-november:590|2025-december:590|2026-january:880|2026-february:590|2026-march:720|2026-april:590|2026-may:590|2026-june:590|2026-july:590,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
beekeeping courses near me,,beekeeping courses near me,Nature and animals: Beekeeping courses,480,HIGH,95,0.4992,0.1773,0.6541,2025-august:480|2025-september:390|2025-october:320|2025-november:390|2025-december:390|2026-january:480|2026-february:390|2026-march:480|2026-april:590|2026-may:720|2026-june:480|2026-july:390,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
beer tasting experience,,beer tasting experience,Food and drink: Beer tasting,480,HIGH,100,1.0889,0.4201,1.1470,2025-august:480|2025-september:390|2025-october:480|2025-november:720|2025-december:880|2026-january:320|2026-february:390|2026-march:390|2026-april:320|2026-may:390|2026-june:480|2026-july:320,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
